seq: 93
gt_pose: -0.357757  -3.47004  -2.87015
odom_pose: -0.615752  -2.86509  -2.91172
point 0 9  67.673 86.2427 
point 1 10 282.969 224.504 
point 2 28  371.97 202.322 
point 3 34 429.978 212.503 
point 4 43 185.722 196.853 
point 5 60 500.887 173.229 
point 6 70 548.007 187.853 
point 7 74 200.664 198.807 
point 8 80 470.166 228.109 
point 9 81 75.8952 126.551 
point 10 90 419.134 197.282 
point 11 121 10.0951 136.663 
point 12 128 25.5619 124.471 
point 13 129 361.208 136.912 
point 14 131 454.602 176.948 
point 15 139 215.646  183.21 
point 16 155 283.405 227.468 
point 17 183 214.388 188.358 
point 18 195 313.116 127.013 
point 19 197 341.696 179.641 
point 20 218 497.255  232.34 
point 21 227 138.896 226.675 
point 22 253 75.7373 220.495 
point 23 278 139.032 196.147 
point 24 288  146.07 193.437 
point 25 292 211.355 192.301 
point 26 294 106.136 148.106 
point 27 302 639.739 177.372 
point 28 306 336.141 178.202 
point 29 309 414.232 148.789 
point 30 339  258.49 172.064 
point 31 345 2.74537 164.184 
point 32 350 424.633 101.541 
point 33 356 149.443 175.413 
point 34 369 322.042 228.425 
point 35 397 573.491 167.068 
point 36 409 263.333 170.831 
point 37 415  233.29 179.452 
point 38 422 183.305 153.671 
point 39 455 226.802 201.112 
point 40 459 184.993 202.289 
point 41 460 630.484 189.179 
point 42 466 41.4563 183.216 
point 43 471 86.2867  194.33 
point 44 479 233.757  203.35 
point 45 497 242.777 168.136 
point 46 543 529.187 204.621 
point 47 546 73.4329 151.046 
point 48 552 580.355 154.421 
point 49 559 438.292 195.512 
point 50 577 539.015 223.161 
point 51 600 406.561  203.26 
point 52 623 572.198 156.573 
point 53 642 274.972 116.314 
point 54 648 383.067 219.349 
point 55 650 568.796 223.185 
point 56 654  559.31 238.859 
point 57 657 267.453 213.962 
point 58 676 106.992 226.538 
point 59 679 408.275 206.069 
point 60 686 65.652 170.86 
point 61 687 584.714 223.077 
point 62 688 88.0532 236.908 
point 63 701 151.658 192.322 
point 64 710  446.67 164.227 
point 65 715 416.646 238.925 
point 66 719 542.776 151.152 
point 67 720 504.664 80.9013 
point 68 727 556.077 222.582 
point 69 732 623.828 176.859 
point 70 735 498.319 231.109 
point 71 738 186.125   230.7 
point 72 748 369.33 214.22 
point 73 755 357.173 233.797 
point 74 760 331.083 164.624 
point 75 766  185.65 191.912 
point 76 767 358.172 237.496 
point 77 769 434.952 141.619 
point 78 770 415.926 167.274 
point 79 774 295.828 206.814 
point 80 783  349.89 205.238 
point 81 810 308.148 220.828 
point 82 824  34.831 224.344 
point 83 825 257.321  155.24 
point 84 829 167.982 158.636 
point 85 836 376.716 211.668 
point 86 848 576.371 185.327 
point 87 852 346.549 164.323 
point 88 863 485.416 113.633 
point 89 884   31.49 189.919 
point 90 888 479.887 64.7347 
point 91 894 476.822 157.455 
point 92 896 617.801 213.585 
point 93 900 611.163 169.481 
point 94 915 344.916 217.017 
point 95 917 138.404 141.702 
point 96 941 82.7118 166.665 
point 97 954 143.256 205.056 
point 98 957 489.956 188.938 
point 99 973 423.946 177.715 
point 100 998 301.049 176.045 

