seq: 88
gt_pose: -0.357507  -3.47004   2.41235
odom_pose: -0.584005  -2.89874   2.36563
point 0 12 15.6791 233.575 
point 1 28 148.828 190.549 
point 2 31 633.371 202.705 
point 3 34 224.876 213.438 
point 4 39 612.342 167.959 
point 5 63 476.827 214.008 
point 6 68  590.05 239.471 
point 7 72 363.033 141.511 
point 8 80 252.282 230.156 
point 9 90 213.768 196.582 
point 10 92 452.563 170.941 
point 11 103 612.729 224.192 
point 12 111 473.798 230.792 
point 13 114 155.362 166.582 
point 14 129 121.452 93.1552 
point 15 166 422.287 199.503 
point 16 175  527.05 154.944 
point 17 186 461.038 177.343 
point 18 197 78.9845 141.937 
point 19 216 494.847 147.695 
point 20 218 272.364 234.301 
point 21 245   508.4 159.872 
point 22 251 487.847 229.731 
point 23 262 513.668 111.644 
point 24 284 88.3354 202.452 
point 25 303  570.09 205.448 
point 26 306 67.1796 135.871 
point 27 308 108.722 183.937 
point 28 309 186.879  140.44 
point 29 330 141.501 231.127 
point 30 331 346.688  218.82 
point 31 334 374.283 148.426 
point 32 350 208.282 99.3125 
point 33 352 478.082 193.478 
point 34 358 198.769  178.15 
point 35 369 4.05628 217.462 
point 36 387 559.852  170.55 
point 37 420 1.23731 192.095 
point 38 433 14.1401  173.14 
point 39 450  620.07 191.383 
point 40 472 461.272 130.363 
point 41 491 605.657  179.48 
point 42 495 611.249 142.735 
point 43 499 488.293 211.316 
point 44 503 330.513 191.116 
point 45 507 18.1214 186.059 
point 46 514 432.943 173.639 
point 47 541 464.331  229.82 
point 48 543 286.905 216.196 
point 49 545 180.069 194.869 
point 50 555 327.106 231.363 
point 51 559 228.462  198.18 
point 52 574 133.14 177.53 
point 53 577 289.225 228.945 
point 54 578 625.828 197.789 
point 55 596 503.112 211.387 
point 56 599 554.902 211.318 
point 57 600 199.055 200.229 
point 58 607 418.759 236.626 
point 59 610 443.097 130.917 
point 60 622  561.08 157.717 
point 61 644 535.216 147.925 
point 62 648 167.659 214.653 
point 63 669 572.956 236.619 
point 64 679 198.552 203.379 
point 65 691 469.032 163.549 
point 66 710 238.624 171.767 
point 67 715  211.45 238.896 
point 68 719 293.621 182.774 
point 69 720 268.013 122.006 
point 70 726 446.243 196.697 
point 71 748 144.503 205.633 
point 72 750 359.47 236.59 
point 73 755 92.1223 230.571 
point 74 758 32.4321 215.195 
point 75 760 42.4906  105.64 
point 76 767 116.205 236.367 
point 77 769 224.167 145.872 
point 78 770 210.216 164.917 
point 79 783 89.5492 185.837 
point 80 786 24.7168 205.604 
point 81 805 527.311 151.942 
point 82 820 334.524 194.177 
point 83 836  157.21 203.887 
point 84 838  44.207 189.903 
point 85 844 162.172 223.661 
point 86 848 304.932 207.862 
point 87 851 20.8785 217.457 
point 88 852 91.5621 121.402 
point 89 854 500.663 226.124 
point 90 862 566.666  72.234 
point 91 863 262.606 141.249 
point 92 871 160.409 207.887 
point 93 876 546.278 78.6974 
point 94 880 563.097 158.415 
point 95 883 534.989 212.709 
point 96 888 255.059  98.789 
point 97 891 0.58475 219.032 
point 98 894 251.797 172.521 
point 99 908 522.561 29.2466 
point 100 915 89.1685  203.66 
point 101 916 360.724 199.101 
point 102 919 35.2906 127.079 
point 103 923 104.619 212.537 
point 104 937 500.454 235.806 
point 105 944 477.174 149.862 
point 106 952 184.715 198.188 
point 107 958  413.33 102.723 
point 108 962 343.858 168.057 
point 109 967 544.297 183.274 
point 110 973 218.112 178.021 
point 111 974 343.279 232.651 
point 112 978 435.018 203.203 
point 113 981 51.7898  179.35 

