seq: 123
gt_pose:  -1.97489  -7.76507 -0.607759
odom_pose:  -2.11217  -7.16564 -0.603746
point 0 18 479.171 169.549 
point 1 35 7.78431 210.229 
point 2 56 60.4656  196.35 
point 3 65 479.829 170.292 
point 4 69 118.095 213.072 
point 5 102 164.586 110.995 
point 6 107 264.315 193.826 
point 7 118 44.3483 179.997 
point 8 143 328.994 132.969 
point 9 152 70.7888 155.664 
point 10 154 466.471 93.8778 
point 11 182 156.229 230.903 
point 12 187 200.654 135.759 
point 13 220 200.294 169.235 
point 14 236  227.62 160.782 
point 15 252 102.612 195.764 
point 16 256 159.381 219.637 
point 17 261 110.573 204.235 
point 18 299  127.32 179.946 
point 19 323 38.7677  126.37 
point 20 374 116.151 194.999 
point 21 429   122.8 187.804 
point 22 444 101.057  174.46 
point 23 446 18.7396 152.274 
point 24 452 46.4787 173.157 
point 25 468 42.2429 162.087 
point 26 482 112.495 216.622 
point 27 493 187.077 210.666 
point 28 509 2.48961 207.109 
point 29 525 248.372 236.349 
point 30 566 116.413 236.338 
point 31 584 202.087 204.337 
point 32 602 208.596 159.338 
point 33 615 267.346 159.253 
point 34 620 113.803 145.774 
point 35 659 267.036 197.306 
point 36 665 68.4707 190.961 
point 37 673 158.931 238.095 
point 38 702 209.107 121.014 
point 39 707 255.224 211.107 
point 40 731 19.8833  224.91 
point 41 741 249.112 209.572 
point 42 743 126.011 217.678 
point 43 745 90.2987  163.04 
point 44 763 7.77317 125.125 
point 45 775 224.671 159.207 
point 46 791 117.788 187.065 
point 47 799 405.762 54.0546 
point 48 801 200.986 196.782 
point 49 802 182.031 170.323 
point 50 818 179.029 177.531 
point 51 855 95.0263 144.482 
point 52 860 18.9585  236.42 
point 53 870 304.807 203.936 
point 54 935  4.1956 227.797 
point 55 943  223.41 232.712 
point 56 985 296.747 194.607 

