seq: 194
gt_pose: 0.569484  0.94801  2.83941
odom_pose: -0.440892   1.40811   3.05953
point 0 28  47.379 197.729 
point 1 30 348.064 193.448 
point 2 58 363.083 235.677 
point 3 63  439.09 183.178 
point 4 80 69.9347  229.39 
point 5 88 338.607 236.189 
point 6 90 136.121 198.936 
point 7 93 340.172 199.444 
point 8 101 421.746 185.218 
point 9 111  308.22 218.704 
point 10 166 225.086 166.464 
point 11 181 513.093 181.264 
point 12 186 390.248  112.28 
point 13 189  551.16 222.407 
point 14 208 457.609 206.854 
point 15 209 421.558 234.432 
point 16 218 182.745 233.873 
point 17 233 388.823 229.611 
point 18 251 312.572 213.939 
point 19 285 480.251 153.971 
point 20 303 471.192 47.5762 
point 21 307 373.877 225.743 
point 22 308 40.5906 195.628 
point 23 321 479.573  167.94 
point 24 322  435.97 176.504 
point 25 331 180.128 211.182 
point 26 346 490.059 122.474 
point 27 397 218.476 189.962 
point 28 404 585.145 155.305 
point 29 405 480.852 123.875 
point 30 406 486.386 192.975 
point 31 428 315.163 179.691 
point 32 453 496.807 236.062 
point 33 478 565.959 195.194 
point 34 494 299.732 180.277 
point 35 499  476.69 173.706 
point 36 503 100.147 174.467 
point 37 514 152.938 108.022 
point 38 527 313.282 236.898 
point 39 539 400.357 148.279 
point 40 541  111.46 215.368 
point 41 543 159.602 212.994 
point 42 544  500.31 190.157 
point 43 555 154.565 228.865 
point 44 559 69.7601 197.604 
point 45 561 527.809  223.65 
point 46 577 100.892 226.989 
point 47 596 471.074 165.794 
point 48 600 105.766 203.111 
point 49 607 69.4715 233.475 
point 50 610 149.242 10.7371 
point 51 614  447.62 200.235 
point 52 616 498.902 226.671 
point 53 623 212.831 182.468 
point 54 631 316.292 231.025 
point 55 648 77.6304 217.782 
point 56 662 361.445 213.871 
point 57 679 54.2134 205.193 
point 58 689 305.933  150.13 
point 59 710 151.309 171.885 
point 60 719 192.344 174.895 
point 61 725 393.447 200.104 
point 62 726 322.436 155.668 
point 63 736  285.55 192.116 
point 64 748 49.2921 210.913 
point 65 750 189.983 235.164 
point 66 769 34.7069 143.954 
point 67 770 129.228 169.343 
point 68 798 372.151 172.278 
point 69 800 369.446 173.207 
point 70 820 165.531 179.777 
point 71 832 522.429 151.646 
point 72 836 60.9687  208.79 
point 73 848 163.471 201.585 
point 74 854 516.489 205.691 
point 75 856 435.891 180.531 
point 76 858 405.442 123.165 
point 77 863  94.015 131.859 
point 78 869 629.857 233.417 
point 79 873 275.795 185.004 
point 80 883  268.49 133.227 
point 81 916 207.256 182.265 
point 82 919 14.9058 160.712 
point 83 937  484.65 229.438 
point 84 952 114.876 202.643 
point 85 967 518.951 27.3589 
point 86 973 128.967 180.545 
point 87 974 117.298 229.796 
point 88 978 80.3321 163.266 
point 89 980 380.811 213.618 

