seq: 183
gt_pose:   2.47292 -0.143821   2.39074
odom_pose:  1.57592 0.680407  2.51288
point 0 7 455.727 138.952 
point 1 21 466.246 181.845 
point 2 31 335.134 201.241 
point 3 34 49.7417 211.987 
point 4 36 518.693 233.059 
point 5 37 518.018 221.905 
point 6 39 427.774 167.118 
point 7 53 628.964 179.921 
point 8 63 311.506 213.408 
point 9 68 346.165 239.455 
point 10 77  561.37 229.006 
point 11 90 22.5233 193.981 
point 12 92 44.3026 164.803 
point 13 103 451.317 224.105 
point 14 109 146.112 210.428 
point 15 111 249.807 230.436 
point 16 113 542.604  158.03 
point 17 132 459.493 135.703 
point 18 148 508.057 21.9985 
point 19 156 360.839 167.395 
point 20 158 611.915 83.4964 
point 21 159 354.946 152.318 
point 22 165 259.873 101.299 
point 23 166 195.207 197.662 
point 24 169 613.825 23.4257 
point 25 175 267.672 151.402 
point 26 176 322.876 187.047 
point 27 180 563.084 176.749 
point 28 186 289.538 175.679 
point 29 190 554.628 231.841 
point 30 191 620.665 216.998 
point 31 216 50.8308 139.063 
point 32 218 101.122 234.026 
point 33 233 289.976 234.441 
point 34 240 395.505 147.429 
point 35 245 130.011 153.871 
point 36 251 253.405 229.323 
point 37 262   44.53 99.0655 
point 38 303 292.754 204.022 
point 39 304 524.499 108.453 
point 40 320 507.183 231.096 
point 41 324 546.557 197.619 
point 42 331 134.244 217.753 
point 43 352 130.086 190.203 
point 44 358 16.0028 174.473 
point 45 387  263.96 167.261 
point 46 389 30.1624 193.274 
point 47 440 591.521 163.887 
point 48 450 457.876  191.15 
point 49 454 461.132 123.687 
point 50 458 495.075 204.816 
point 51 491 281.177 176.484 
point 52 495 356.394 139.776 
point 53 499 326.142 210.717 
point 54 501 5.16078 173.029 
point 55 503 65.2701 187.905 
point 56 506 369.605  192.87 
point 57 514 161.944  169.95 
point 58 541  162.27 229.209 
point 59 543 87.1517 214.913 
point 60 555 104.703 230.887 
point 61 569 564.502 204.527 
point 62 577 37.2248 228.206 
point 63 578 383.005 196.714 
point 64 591 426.874 166.407 
point 65 596 317.979 210.669 
point 66 599 363.883 210.732 
point 67 607 110.688 236.401 
point 68 610 165.813 124.802 
point 69 617  185.77 34.5518 
point 70 622 365.239 155.995 
point 71 623 142.538 188.527 
point 72 627 597.638 137.236 
point 73 644 257.777 143.744 
point 74 655 554.811 187.945 
point 75 658 502.067 202.707 
point 76 669 411.698 236.583 
point 77 678 497.342 178.438 
point 78 691 87.1716 157.417 
point 79 710 52.8613 167.961 
point 80 715  25.22 238.83 
point 81 719 119.686 180.106 
point 82 726 253.827 195.237 
point 83 750 147.371 236.423 
point 84 770 12.8859 160.274 
point 85 805 292.762 148.849 
point 86 806 409.375 237.556 
point 87 820 117.156 191.748 
point 88 848 100.061 206.153 
point 89 854 339.155 225.857 
point 90 863  12.375 134.398 
point 91 876 164.99 67.187 
point 92 878 491.789 226.502 
point 93 880 203.633 153.218 
point 94 881 339.108  171.63 
point 95 883  247.11 211.394 
point 96 908  26.847 7.33447 
point 97 916 160.259 197.231 
point 98 927 321.909 66.3809 
point 99 929 333.251 135.613 
point 100 937 324.935  235.71 
point 101 944 151.011 144.018 
point 102 958 72.8115 92.3275 
point 103 967 316.866 181.502 
point 104 968 444.282 149.392 
point 105 972  468.46 180.334 
point 106 973 17.4899 174.192 
point 107 974  86.402 232.195 
point 108 978 128.214 200.826 
point 109 979 438.914  56.028 
point 110 997 430.814 233.302 

