seq: 89
gt_pose: -0.357556  -3.47004   2.61241
odom_pose: -0.609607  -2.87846   2.55953
point 0 10 16.9492 210.938 
point 1 25  19.495 215.661 
point 2 28 208.815 197.654 
point 3 32 4.43106 173.878 
point 4 63 556.869 207.754 
point 5 72 411.067 133.957 
point 6 80 293.055 230.656 
point 7 88 466.507 237.337 
point 8 92  523.39 156.967 
point 9 111 552.939  228.62 
point 10 129 190.187 117.353 
point 11 155 17.2449 216.532 
point 12 166 479.352 193.236 
point 13 167 25.5236 197.937 
point 14 186 533.135  163.91 
point 15 195 97.9245 65.2237 
point 16 197 161.536 161.187 
point 17 216 588.741  122.39 
point 18 233 517.146 233.508 
point 19 245 610.447 135.961 
point 20 251  574.98 227.059 
point 21 262 620.517 71.9829 
point 22 263 67.4081 196.887 
point 23 306 153.691 157.194 
point 24 308 180.432 193.746 
point 25 309 240.621 151.414 
point 26 331  387.13 217.694 
point 27 334 423.519 140.109 
point 28 346 574.001 175.217 
point 29 350 256.305 112.257 
point 30 352 560.996 182.122 
point 31 369 117.522 222.999 
point 32 402 632.127 222.547 
point 33 405 567.863  174.95 
point 34 416  43.039 233.112 
point 35 434 40.9087 174.974 
point 36 472 538.891 106.452 
point 37 499 574.773 203.847 
point 38 503  369.95 189.455 
point 39 514 494.253 162.293 
point 40 539 499.457 179.296 
point 41 541 539.545 227.574 
point 42 543 324.934 216.562 
point 43 544 559.377 210.918 
point 44 555 365.948 231.106 
point 45 559 272.037 201.273 
point 46 575 8.22407 143.336 
point 47 577  327.61 229.085 
point 48 596 599.138 203.171 
point 49 600 247.197 204.252 
point 50 607 475.499  236.12 
point 51 610 508.454 110.563 
point 52 631 445.832 233.476 
point 53 634 49.7145 174.362 
point 54 635 70.4884 238.782 
point 55 648 222.701 217.904 
point 56 679 247.165 207.093 
point 57 689 436.791 173.603 
point 58 691 547.506 146.038 
point 59 708 80.7227 161.775 
point 60 719  331.29 183.245 
point 61 720 308.422 126.063 
point 62 725 501.886 213.878 
point 63 726 511.959  188.43 
point 64 748 205.631 210.691 
point 65 750  401.54 236.354 
point 66 755 172.633 232.321 
point 67 760 139.358 135.356 
point 68 767 186.448 236.981 
point 69 769 268.599 153.202 
point 70 770  256.18 171.762 
point 71 774 45.629 182.13 
point 72 783 169.423  196.03 
point 73 808 27.6709 172.191 
point 74 810 95.9748 209.896 
point 75 812 58.4894 233.458 
point 76 820 373.849 192.413 
point 77 832 566.667  189.04 
point 78 836 214.933  208.83 
point 79 848  342.83 207.723 
point 80 852 169.691 143.611 
point 81 854 594.778 222.204 
point 82 856 523.731 202.572 
point 83 858 511.678 165.114 
point 84 863 302.329 145.249 
point 85 888 296.234 105.521 
point 86 890 71.0043 162.494 
point 87 894 293.534 175.948 
point 88 895 28.0444 211.947 
point 89 915 167.949 210.532 
point 90 916 402.868 196.215 
point 91 919 133.622 152.671 
point 92 921 71.3089 174.666 
point 93 937 594.619 234.622 
point 94 944 559.339 128.012 
point 95 952 235.654 202.947 
point 96 953 636.234 174.614 
point 97 956 36.9102 235.901 
point 98 958 468.674 83.1733 
point 99 962 385.592 164.416 
point 100 973 262.788 183.221 
point 101 974 383.753 232.289 
point 102 978  497.49 196.788 
point 103 998 77.1556  134.86 

