seq: 115
gt_pose: -2.86397 -6.47211 -1.32876
odom_pose:  -3.0231 -5.95591 -1.26925
point 0 18 285.431 208.406 
point 1 65 285.182 209.074 
point 2 98 525.971 189.744 
point 3 107 99.0411 185.293 
point 4 117 480.889 209.139 
point 5 121 236.006 87.1873 
point 6 128 234.877 50.8745 
point 7 143 198.306 155.285 
point 8 154  270.19 187.417 
point 9 163 232.145 101.415 
point 10 220 13.4126 154.422 
point 11 227 109.645 114.275 
point 12 236 86.9012  164.02 
point 13 253 364.108 212.934 
point 14 278  435.92 145.591 
point 15 287 12.8728 190.217 
point 16 288 429.194 107.511 
point 17 318 243.265 117.335 
point 18 345 248.859 137.304 
point 19 355 513.606 204.754 
point 20 381 555.102 156.954 
point 21 466 342.982 173.889 
point 22 471 377.447 174.806 
point 23 493 45.4896 211.895 
point 24 525 106.967 236.463 
point 25 547 257.794 108.023 
point 26 602 9.19673 135.466 
point 27 615 123.292 159.332 
point 28 659 125.092 198.174 
point 29 686 315.173 127.408 
point 30 688 362.072 235.049 
point 31 701 466.901 134.431 
point 32 702 127.077 166.773 
point 33 707 82.9402 204.691 
point 34 738 589.584 196.074 
point 35 741 96.2997 207.838 
point 36 775 21.8676 130.298 
point 37 799 253.693 139.645 
point 38 802   79.33 186.757 
point 39 824 342.075 222.545 
point 40 870 174.968 209.981 
point 41 922 566.394 154.813 
point 42 943 3.78328 229.349 
point 43 976 528.639 150.076 
point 44 985 181.275 210.026 
point 45 987 585.363 118.275 

