seq: 109
gt_pose: -2.82707 -5.28491 -1.87901
odom_pose:  -3.0436 -4.73957 -1.87488
point 0 2 499.179 140.398 
point 1 18 183.647 210.386 
point 2 25 548.435 207.562 
point 3 32 522.005 166.639 
point 4 65 183.619 211.106 
point 5 74 354.571 159.754 
point 6 98   342.7 214.581 
point 7 117 327.214 222.431 
point 8 121 156.511 123.631 
point 9 122 383.646 202.784 
point 10 126 420.657  200.53 
point 11 128  159.57 101.994 
point 12 139 382.298   120.7 
point 13 143 45.6254 133.638 
point 14 154 173.063 193.404 
point 15 163 129.232 108.187 
point 16 167 570.117 175.503 
point 17 183 381.985 136.514 
point 18 203 401.958 220.411 
point 19 223 428.822 148.885 
point 20 227 188.391 209.567 
point 21 247 420.146 156.885 
point 22 250 591.155 239.823 
point 23 253 258.866 220.529 
point 24 258 508.203 234.649 
point 25 278 300.887 185.538 
point 26 288 290.985 173.169 
point 27 291 437.439 194.991 
point 28 294 126.917 42.5384 
point 29 318 138.962 121.825 
point 30 345 164.564 159.678 
point 31 351  449.46 124.757 
point 32 355 338.615  221.65 
point 33 356 248.314 115.203 
point 34 378  405.57 173.507 
point 35 385 593.055 152.907 
point 36 413 525.773 175.907 
point 37 415 416.577 52.8956 
point 38 416 569.632 230.131 
point 39 431 427.749 200.031 
point 40 432 624.055 202.026 
point 41 434  588.34 133.873 
point 42 455 393.031  114.11 
point 43 459  187.75 79.5018 
point 44 466 242.247 188.739 
point 45 471 268.642 193.967 
point 46 479 420.376 142.202 
point 47 511  487.92 72.1376 
point 48 522 439.542  111.14 
point 49 528 435.781 114.698 
point 50 547 168.607  132.41 
point 51 575 582.748 67.4056 
point 52 576 561.892 195.024 
point 53 593 484.192 156.813 
point 54 626 471.916 64.7861 
point 55 634 602.009 127.402 
point 56 657 549.619 143.614 
point 57 686 222.683  161.62 
point 58 688 256.966 236.624 
point 59 700 520.874 203.109 
point 60 701 317.815 180.784 
point 61 728 388.873 174.044 
point 62 734 407.657 206.202 
point 63 738 339.197 224.376 
point 64 766 297.808 125.192 
point 65 773 550.674 179.384 
point 66 784 413.632 119.519 
point 67 799 144.987 138.946 
point 68 808  561.09 143.339 
point 69 812 594.706 229.562 
point 70 824 241.371 226.264 
point 71 829 310.364 107.671 
point 72 840  460.49 131.463 
point 73 870 3.89363 200.578 
point 74 895 581.532 194.012 
point 75 917 258.203 79.9499 
point 76 922 359.186 198.833 
point 77 940  471.44 172.978 
point 78 954  173.96 151.652 
point 79 956  555.17 234.602 
point 80 976 341.837 195.628 
point 81 983 448.944 161.426 
point 82 985 46.7466 206.283 
point 83 987  360.29 185.431 
point 84 988 453.843 225.799 
point 85 999 384.958 180.341 

