seq: 191
gt_pose:  1.12574 0.717181  2.70702
odom_pose: 0.131145  1.30331  2.91912
point 0 1 636.995 166.608 
point 1 28 6.35102 195.263 
point 2 31  517.25 112.021 
point 3 63 386.903 197.833 
point 4 68  499.55 238.645 
point 5 76 529.616 167.654 
point 6 80 47.3027 229.467 
point 7 88 313.16 236.79 
point 8 90 107.733 198.079 
point 9 93 314.831 204.634 
point 10 111 289.749 224.415 
point 11 166 219.885 179.893 
point 12 173 608.941 160.068 
point 13 175 314.256 64.7835 
point 14 181 444.191 195.704 
point 15 186 352.163 141.923 
point 16 189 472.021 226.807 
point 17 218 161.321 233.991 
point 18 226 551.179 116.426 
point 19 229 632.203 177.646 
point 20 233  352.28 231.813 
point 21 245 38.9764 64.6796 
point 22 251  293.44 221.742 
point 23 285 425.242 171.795 
point 24 303  367.94 154.838 
point 25 307  343.43 227.839 
point 26 321 422.082 184.116 
point 27 331 168.909 213.707 
point 28 346 421.995 154.836 
point 29 352 75.1238  150.88 
point 30 377 619.034 226.033 
point 31 387 301.982 71.8252 
point 32 397 199.336 192.236 
point 33 402 539.095 216.567 
point 34 404 492.322 178.216 
point 35 405  416.45 154.982 
point 36 406 426.831 203.695 
point 37 428 292.767 186.506 
point 38 477 542.331  162.61 
point 39 478 477.322 207.497 
point 40 491 342.061 52.7446 
point 41 494 279.178 187.301 
point 42 499 411.859  192.15 
point 43 503 92.9256 179.399 
point 44 506 636.694 80.1667 
point 45 514 165.107 135.381 
point 46 520 590.352 155.413 
point 47 539 363.016 165.659 
point 48 541 146.085 222.052 
point 49 543 140.699 213.855 
point 50 544 433.178 202.801 
point 51 555 142.248 229.631 
point 52 559 42.6481 197.182 
point 53 561 458.353 227.421 
point 54 577 84.7004  227.46 
point 55 578 634.181 113.273 
point 56 596 402.489 189.194 
point 57 599 507.454 179.737 
point 58 600 74.6941 202.015 
point 59 607 94.7264 234.726 
point 60 610 165.468 62.4701 
point 61 622 514.809 62.4162 
point 62 623 193.901 185.066 
point 63 631 294.071  232.26 
point 64 644 293.182 41.0482 
point 65 648 41.0538 216.716 
point 66 669 614.166 232.696 
point 67 674 541.438 233.297 
point 68 679 21.5357 204.166 
point 69 689 284.919 161.713 
point 70 691 2.17621 93.2209 
point 71 710 126.166  171.57 
point 72 715 111.285  238.94 
point 73 719 173.068 177.252 
point 74 725 357.169 207.806 
point 75 726  299.84 173.597 
point 76 748 7.73895 209.149 
point 77 750 179.806 235.654 
point 78 769 6.47108 142.774 
point 79 770 100.248 167.715 
point 80 780 637.324 239.228 
point 81 798 342.014 182.142 
point 82 800 339.728 182.885 
point 83 805   362.4 63.1196 
point 84 820  153.61 184.334 
point 85 826 597.674 192.698 
point 86 832 448.338 174.691 
point 87 836 21.9965 207.112 
point 88 847 551.018 195.624 
point 89 848 147.015 203.404 
point 90 854 436.111 216.064 
point 91 856 389.139 193.319 
point 92 858 366.063 146.945 
point 93 863 72.9704 133.433 
point 94 880 151.137 22.8259 
point 95 881 539.509 3.25309 
point 96 883 271.042 180.393 
point 97 916 195.401 188.119 
point 98 937 413.189 232.675 
point 99 944 115.778 71.2401 
point 100 952 82.2438  201.21 
point 101 953 550.686 152.245 
point 102 958 39.7847 23.1962 
point 103 967  412.12 120.286 
point 104 973 100.994 179.477 
point 105 974 111.479 230.692 
point 106 978 110.111 180.007 
point 107 980 348.996  217.68 

