seq: 100
gt_pose: -1.67353 -3.95692  -2.7032
odom_pose: -1.91073  -3.3665 -2.68451
point 0 10 304.212 216.647 
point 1 28 445.592 179.093 
point 2 34 547.461 193.744 
point 3 74 202.266 186.852 
point 4 90 528.931 168.268 
point 5 98 185.286 217.724 
point 6 114 432.003 160.471 
point 7 117 166.432 223.325 
point 8 129 455.649 26.4995 
point 9 131 605.232  127.14 
point 10 139 222.054 167.086 
point 11 155 303.989 220.475 
point 12 183 221.916 174.578 
point 13 195 356.865 2.06748 
point 14 197 402.052 134.724 
point 15 227 76.7541 218.995 
point 16 247 244.887 193.519 
point 17 253 64.0968 216.782 
point 18 266 510.331 195.921 
point 19 278 137.952 187.476 
point 20 288  135.14 180.842 
point 21 292 128.232 131.423 
point 22 294  5.9687 85.9691 
point 23 306  386.11 143.233 
point 24 308 404.393 185.112 
point 25 330 420.303 230.927 
point 26 339 272.901 146.399 
point 27 355 180.688 223.624 
point 28 356 113.984 147.045 
point 29 358 492.368 151.488 
point 30 369 379.251  213.63 
point 31 389 486.292   178.8 
point 32 400 438.631 220.939 
point 33 409 252.211 93.9224 
point 34 410 560.967  164.96 
point 35 413 288.793 212.321 
point 36 415 238.108  156.39 
point 37 455 226.521 184.894 
point 38 459 138.091 176.939 
point 39 466 24.3814 172.614 
point 40 471 80.1067 186.387 
point 41 474 565.494 223.008 
point 42 479 242.254 191.316 
point 43 490 628.744 239.989 
point 44 497 182.926 55.8009 
point 45 501  452.13 164.841 
point 46 511 276.689  159.47 
point 47 522 255.263 170.716 
point 48 523 450.749 174.194 
point 49 528 255.918 166.849 
point 50 545 464.906 182.235 
point 51 553 466.587  193.67 
point 52 574 414.641 177.729 
point 53 575  302.76 175.425 
point 54 580 567.795 238.004 
point 55 600 510.272  177.48 
point 56 626 268.134 156.293 
point 57 635 327.284 239.037 
point 58 642 281.365 1.30424 
point 59 647 618.562 196.476 
point 60 648 462.619 206.828 
point 61 657 286.678 205.286 
point 62 679  542.47 172.982 
point 63 680 627.015 222.296 
point 64 686 22.1951  148.86 
point 65 688 70.3756 236.197 
point 66 701 157.239 184.251 
point 67 710 601.533 98.9277 
point 68 715 520.447 238.236 
point 69 738  187.51 228.321 
point 70 748 439.349 199.077 
point 71 760 390.288 91.8993 
point 72 766  166.96 171.239 
point 73 767 443.102 235.088 
point 74 770 523.909 117.661 
point 75 774 318.583 156.366 
point 76 783 459.027  149.04 
point 77 784 241.521 170.719 
point 78 795 489.069 196.438 
point 79 796  598.59 210.336 
point 80 810 341.206 213.192 
point 81 824 19.0605  221.57 
point 82 825 258.008 97.1584 
point 83 829 160.856 135.388 
point 84 836  452.81 194.358 
point 85 840  266.96 182.322 
point 86 844 440.634 221.429 
point 87 850 430.189 185.885 
point 88 852  411.36 106.555 
point 89 871 437.209 204.277 
point 90 902 609.194 197.767 
point 91 915 404.36 201.63 
point 92 917 109.289 105.294 
point 93 919 362.098  157.49 
point 94 921 327.312 189.599 
point 95 940 272.043 205.214 
point 96 952 476.297  183.27 
point 97 954  77.182 183.485 
point 98 970 443.65 200.68 
point 99 973 546.478 130.591 
point 100 976 184.953 201.653 
point 101 987 203.219 195.318 
point 102 991 634.126 234.625 
point 103 998 331.317 150.677 

