seq: 94
gt_pose: -0.546214  -3.53856  -2.79281
odom_pose: -0.795343  -2.92429  -2.83289
point 0 9 83.7382 86.2079 
point 1 10 296.806 223.887 
point 2 28 391.441 199.436 
point 3 34 456.687 209.723 
point 4 43 192.291 193.376 
point 5 60 542.617  163.72 
point 6 70 605.714 178.423 
point 7 74 215.786 198.894 
point 8 80 511.999 226.135 
point 9 81 89.4899 125.255 
point 10 90 444.339 193.136 
point 11 121 38.4782 141.009 
point 12 128 51.9462 128.798 
point 13 129 381.275 127.031 
point 14 131 486.023 169.607 
point 15 139 230.308 183.109 
point 16 155 297.225 226.924 
point 17 183 229.204 188.363 
point 18 195 328.719 117.939 
point 19 197 358.996  175.19 
point 20 218 540.779 231.163 
point 21 227 154.414 226.679 
point 22 247 247.111 203.214 
point 23 253 101.703 221.397 
point 24 278 158.786 197.383 
point 25 288  164.33 194.352 
point 26 292 222.045  189.83 
point 27 294 122.743 148.522 
point 28 306 352.536 174.421 
point 29 308 368.031 200.415 
point 30 309 454.637 128.164 
point 31 339 272.152 170.528 
point 32 345 32.7722 167.709 
point 33 350 460.118 77.7758 
point 34 356 165.645 175.785 
point 35 358 427.399 178.352 
point 36 369 338.549 227.389 
point 37 409 275.894 166.435 
point 38 415 247.051 178.538 
point 39 422 191.214 147.924 
point 40 455 240.474 200.496 
point 41 459 198.046 201.573 
point 42 466 71.6572 186.383 
point 43 471 111.406 196.384 
point 44 479 247.756 202.947 
point 45 488 556.846 163.855 
point 46 497   253.9 163.087 
point 47 543 586.863 197.744 
point 48 546 89.7882 151.165 
point 49 547 18.5316 135.253 
point 50 559 470.477 189.566 
point 51 577 607.143 219.294 
point 52 600 430.315 199.809 
point 53 642 288.219 108.865 
point 54 648 403.567 217.701 
point 55 650 633.506 219.932 
point 56 654 617.152 238.661 
point 57 657 281.257 213.396 
point 58 676 118.573 226.231 
point 59 679 433.876 202.379 
point 60 686  90.378 173.508 
point 61 688 111.954 237.029 
point 62 694 616.726  223.15 
point 63 710 477.388 155.335 
point 64 715 441.237 238.825 
point 65 719 602.908 133.899 
point 66 720 570.566 40.3672 
point 67 727 616.932 219.314 
point 68 735 540.485 229.809 
point 69 738 202.171 230.787 
point 70 748  388.41 212.316 
point 71 755 381.306 232.778 
point 72 760 347.975 158.532 
point 73 766 200.259 191.705 
point 74 767 377.603  237.27 
point 75 769 467.654 127.822 
point 76 770 440.734 160.286 
point 77 774 310.236 203.912 
point 78 783 369.756 201.437 
point 79 784 244.273 185.032 
point 80 810 322.756 220.063 
point 81 824 66.1236 225.258 
point 82 825 270.283 151.637 
point 83 829 184.687 159.618 
point 84 836 396.611 209.461 
point 85 852 364.307 158.537 
point 86 863 531.124 91.6627 
point 87 884 38.0451 188.002 
point 88 888 531.374 27.9713 
point 89 894 529.446 139.353 
point 90 915 362.259 215.394 
point 91 917 156.004 143.067 
point 92 941 90.7818 163.869 
point 93 952 415.563 200.751 
point 94 954 158.202 204.938 
point 95 957 528.356 182.156 
point 96 973 450.394 171.278 
point 97 991 509.171 236.555 
point 98 998 315.418 173.647 

