seq: 90
gt_pose: -0.357605  -3.47004   2.81265
odom_pose: -0.629199  -2.86846   2.80893
point 0 10 123.675 217.865 
point 1 28  255.27 201.567 
point 2 72 471.029 118.852 
point 3 80 331.397 230.736 
point 4 88 541.357 236.742 
point 5 92 637.857 129.712 
point 6 93 500.485  204.16 
point 7 101 568.537 192.049 
point 8 129 241.039 130.672 
point 9 155 123.981 222.119 
point 10 166 562.033 181.734 
point 11 167 127.658 207.751 
point 12 168 8.49987 230.347 
point 13 195 174.682 97.1005 
point 14 197 218.694 171.681 
point 15 209 570.833 235.136 
point 16 223 6.22345 148.972 
point 17 233 623.082 231.472 
point 18 285 629.646 166.046 
point 19 291 20.6741 196.299 
point 20 306 212.557 168.767 
point 21 307 530.279 227.466 
point 22 308 232.444 199.183 
point 23 309 285.153 156.817 
point 24 322 583.136 184.645 
point 25 331 434.405 215.345 
point 26 334 486.747 124.109 
point 27 339 68.3809 131.163 
point 28 350 297.705 118.171 
point 29 351 34.9361 146.234 
point 30 369 188.05 225.85 
point 31 409 72.5962  130.77 
point 32 413 92.7005 206.635 
point 33 428 477.865 186.485 
point 34 431 4.37246 199.187 
point 35 494 482.728 187.631 
point 36 497 10.7058  113.07 
point 37 503 414.283 185.267 
point 38 511 68.1028 137.256 
point 39 514 586.365 141.121 
point 40 522 19.5598 143.672 
point 41 528 16.0622 134.257 
point 42 539 592.927  162.26 
point 43 543 363.435 215.927 
point 44 555 409.188 230.417 
point 45 559 311.073 202.469 
point 46 575 117.954 166.944 
point 47 577 366.716 228.752 
point 48 593 79.8986 175.751 
point 49 600  287.95 206.261 
point 50 607 557.143 235.188 
point 51 610 610.023 71.9272 
point 52 623 382.153 188.034 
point 53 626 51.5402 131.777 
point 54 631 511.167 232.235 
point 55 635 155.332 239.029 
point 56 642 102.081 55.7106 
point 57 648 266.733 219.664 
point 58 652 5.89445 238.041 
point 59 657 91.5774 200.134 
point 60 679 288.283 208.937 
point 61 689 498.485 161.895 
point 62 719 369.989  181.29 
point 63 720 347.787 125.033 
point 64 725 597.026  206.43 
point 65 726 614.683  172.74 
point 66 748 252.626 213.484 
point 67 750 452.384 235.898 
point 68 755 229.431 233.262 
point 69 760 202.902 151.147 
point 70 767 237.979 237.319 
point 71 769 308.075 156.181 
point 72 774 142.182 194.793 
point 73 783 225.588 201.574 
point 74 798 528.182 180.418 
point 75 800 526.829 181.259 
point 76 810 172.009  215.45 
point 77 820 418.432 188.241 
point 78 825 60.8277 102.673 
point 79 836 260.278 211.536 
point 80 840 45.1031 161.941 
point 81 848 382.817 206.158 
point 82 849 4.15337 169.011 
point 83 852 224.835 155.791 
point 84 856 634.237 190.362 
point 85 858 613.478 142.405 
point 86 863 340.498 145.096 
point 87 888 335.223 106.147 
point 88 890 155.462 178.196 
point 89 894 332.798 176.426 
point 90 895 129.196 218.445 
point 91 915 223.356 214.301 
point 92 916 453.949 190.657 
point 93 919 197.547 166.302 
point 94 921 155.732 187.886 
point 95 940 56.4589 193.827 
point 96 958 547.107 47.2964 
point 97 962  434.33 156.533 
point 98 973 301.994 185.528 
point 99 974 430.728 231.511 
point 100 978 592.164 184.748 
point 101 980 540.702 216.911 
point 102 983   39.72 164.412 
point 103 998   159.8 155.684 

