seq: 131
gt_pose: -0.452878  -8.15716  0.101246
odom_pose: -0.558779  -7.49602  0.142972
point 0 6 73.4851 202.044 
point 1 26 120.508 148.783 
point 2 38 125.801 166.003 
point 3 48 41.1874 49.6517 
point 4 57 9.00295 196.766 
point 5 102 274.218 53.1341 
point 6 107 412.491 168.025 
point 7 116 19.4926 226.291 
point 8 118 229.582 193.008 
point 9 119 29.7488 211.758 
point 10 137 351.212 208.454 
point 11 138 111.881 231.345 
point 12 182 291.286 230.353 
point 13 187 325.513 96.9268 
point 14 198 74.0797 236.954 
point 15 220 318.938 129.334 
point 16 236 353.602 49.8629 
point 17 246 343.967 217.371 
point 18 256 298.268 219.522 
point 19 280 6.32232 233.301 
point 20 286 114.305 189.467 
point 21 299 267.837 179.453 
point 22 313 9.21151 154.771 
point 23 319 22.0736 184.511 
point 24 323  142.19 99.3146 
point 25 327 148.215 216.698 
point 26 374 269.694 199.669 
point 27 414 356.398 162.998 
point 28 429 269.857 190.517 
point 29 444 263.572 184.695 
point 30 448  4.2947 218.655 
point 31 452 235.324  189.24 
point 32 463 81.0886 152.722 
point 33 468 233.328 181.273 
point 34 484 185.788 180.143 
point 35 493 258.791 167.114 
point 36 525 398.945 231.591 
point 37 532 83.6309  196.91 
point 38 560 61.7086  155.61 
point 39 565  130.85 237.476 
point 40 566 256.701  236.28 
point 41 584 329.149 193.168 
point 42 602 334.428 125.001 
point 43 615  433.88 69.6577 
point 44 620 266.631  154.64 
point 45 638 142.771 163.572 
point 46 639  118.11 219.914 
point 47 651 75.4983 102.199 
point 48 659 436.298 145.694 
point 49 664 104.141 212.578 
point 50 665 224.366 194.365 
point 51 707 398.104 196.632 
point 52 709 111.901 219.734 
point 53 731 226.674 229.311 
point 54 741 394.962 182.274 
point 55 743 277.907 219.982 
point 56 745 246.092 169.932 
point 57 763  201.03 149.088 
point 58 775 356.625 131.451 
point 59 801 332.555 189.818 
point 60 815 25.0288 157.881 
point 61 818 301.978 159.371 
point 62 821   81.59 207.274 
point 63 855 247.598  151.19 
point 64 870 612.027 106.868 
point 65 882 74.5785 207.114 
point 66 903 164.956 201.116 
point 67 918 154.748 227.809 
point 68 931 119.823   129.5 
point 69 943 356.004 230.889 
point 70 961 159.113 110.012 
point 71 963 0.207523  207.427 
point 72 971 13.6552     210 

