seq: 114
gt_pose: -2.90315 -6.27558 -1.41889
odom_pose: -3.07224 -5.76321 -1.37467
point 0 18 269.757 209.476 
point 1 65 269.531  210.14 
point 2 74 590.748 22.6186 
point 3 98 476.414 197.883 
point 4 107 66.0026 181.485 
point 5 117 443.093 213.273 
point 6 121  224.71 98.5336 
point 7 122 573.975 168.101 
point 8 128 224.335 66.5673 
point 9 143 179.673 154.292 
point 10 154 255.354 189.749 
point 11 163 217.731 105.892 
point 12 203 621.887 200.135 
point 13 227 167.137  160.81 
point 14 236 60.3169 161.212 
point 15 253 343.768   215.2 
point 16 278 404.132 158.007 
point 17 288 394.406 129.238 
point 18 318 228.409 120.996 
point 19 345 236.351 144.357 
point 20 355 467.382 210.216 
point 21 381 501.305 170.308 
point 22 466 324.722 178.434 
point 23 471 355.846 180.504 
point 24 493 16.8449 210.837 
point 25 525 81.0991 236.329 
point 26 547 244.287 115.992 
point 27 606 626.655  228.65 
point 28 615 97.4203 155.951 
point 29 659 99.8361 196.538 
point 30 686 298.541 137.707 
point 31 688 341.31 235.52 
point 32 701 430.299 148.963 
point 33 702 111.096 167.515 
point 34 707 47.2633 202.023 
point 35 728 584.601 112.066 
point 36 738 504.251 207.254 
point 37 741 67.1373 206.204 
point 38 782 1.83164 234.793 
point 39 799 238.147 141.854 
point 40 802 58.6612  186.21 
point 41 824 323.959 223.694 
point 42 870 155.045  209.45 
point 43 922 507.776 169.535 
point 44 976 477.326  165.19 
point 45 985 164.546 210.185 
point 46 987 518.339 141.632 
point 47 999 578.421 123.738 

